ITEMID	KEY	TYPE	CATEGORY	SECTION	DOMAIN	GRADELEVEL	DETAILS
1	CCSS.MATH.PRACTICE.MP1	standard	Standards for Mathematical Practice	math-practice-standards	Mathematical Practice	K-12	Make sense of problems and persevere in solving them.
2	CCSS.MATH.PRACTICE.MP2	standard	Standards for Mathematical Practice	math-practice-standards	Mathematical Practice	K-12	Reason abstractly and quantitatively.
3	CCSS.MATH.PRACTICE.MP3	standard	Standards for Mathematical Practice	math-practice-standards	Mathematical Practice	K-12	Construct viable arguments and critique the reasoning of others.
4	CCSS.MATH.PRACTICE.MP4	standard	Standards for Mathematical Practice	math-practice-standards	Mathematical Practice	K-12	Model with mathematics.
5	CCSS.MATH.PRACTICE.MP5	standard	Standards for Mathematical Practice	math-practice-standards	Mathematical Practice	K-12	Use appropriate tools strategically.
6	CCSS.MATH.PRACTICE.MP6	standard	Standards for Mathematical Practice	math-practice-standards	Mathematical Practice	K-12	Attend to precision.
7	CCSS.MATH.PRACTICE.MP7	standard	Standards for Mathematical Practice	math-practice-standards	Mathematical Practice	K-12	Look for and make use of structure.
8	CCSS.MATH.PRACTICE.MP8	standard	Standards for Mathematical Practice	math-practice-standards	Mathematical Practice	K-12	Look for and express regularity in repeated reasoning.
9	CCSS.MATH.CONTENT.K.CC.A	cluster	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Know number names and the count sequence.
10	CCSS.MATH.CONTENT.K.CC.A.1	standard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Count to 100 by ones and by tens.
11	CCSS.MATH.CONTENT.K.CC.A.2	standard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Count forward beginning from a given number within the known sequence (instead of having to begin at 1).
12	CCSS.MATH.CONTENT.K.CC.A.3	standard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).
13	CCSS.MATH.CONTENT.K.CC.B	cluster	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Count to tell the number of objects.
14	CCSS.MATH.CONTENT.K.CC.B.4	standard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	Understand the relationship between numbers and quantities; connect counting to cardinality.
15	CCSS.MATH.CONTENT.K.CC.B.4.A	substandard	Kindergarten: Counting and Cardinality	math-content-standards	Counting and Cardinality	K	When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.
